Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM05O,2.7197745378164533,-0.3195644137742043,-0.0831957951067094,-0.0083515009385188,0.128077321903352,0.5088011302238132,1.3011174109575845,1.0676796744055252,0.6670964795922242,-1.836171338677716,3.588752184553323,-0.6746702739102242,0.4699419883736572,0.8270990725182742,1.6403627343631064,0,1,0,0,1,1,0,0,0,1,1
AZM05P,2.941832640599213,-1.5105838395998927,1.1333469919273604,-0.1027510741451,-1.3655798401393409,1.2044439820035917,-0.1717918435112796,-0.628025823876882,1.7148895997639295,-4.973402663237101,3.9114332375631866,2.548763740004482,-4.973402663237101,0.985186761347931,2.2413019252638815,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05Q,2.728811621869109,-1.1013668375917984,-0.0427948236995711,-0.4304681567399556,0.3316460460012141,0.8333679917499919,-1.9342698282208797,-0.9510730387329224,1.1296637106386764,-1.9191069426449228,2.0055855282807147,2.7339236657665817,-5.446846143148492,0.8250433464735099,1.661892829311607,0,0,0,-1,0,1,0,0,0,1,1
AZM05R,1.812507545013714,-1.2901800031551816,0.4785760027938007,-1.4392905198089292,0.7501154408442201,0.1721629346591921,0.3701130317580288,-5.078439594460397,1.5137773107262398,-0.5289751147923974,-2.7177622484880617,1.0894411400544306,1.1904521480386387,0.0428379242645184,1.854480078708113,3,1,1,0,0,0,0,0,1,1,0
AZM05S,2.9440199553158575,-2.263711876144361,0.1440604658346098,1.461921982490917,3.841418338241339,-0.0547319082726365,0.0425381039347603,-0.2208735872613906,1.1361710707886947,0.0450936701871255,-0.9607045637315852,0.5401728854994386,0.145490236314557,0.1310996989830466,1.144097500129066,3,1,0,0,3,1,3,0,1,1,1
AZM05T,1.4030592789035254,0.2390368593646585,-0.4931462184059427,-0.3678226835288531,-0.518594384318517,-0.8845378523249638,0.7599525136565352,1.2193123323990978,0.5179287088105715,-1.3508967890398025,1.587420803074158,1.08359448595597,0.6375593050434483,-0.4118651380416813,1.1232273391308571,1,1,0,0,1,1,1,4,0,0,1
AZM05U,3.154987463119015,-0.178712572234058,1.0483138422842817,-0.3822463364497865,-2.566274384597413,1.3005266388394954,0.2833457056972784,2.3624332254734965,1.298516325464886,-1.6794326918430202,3.785827759522876,-1.0313371618423643,-4.977096820322248,1.4709166296313805,1.850975668460452,1,0,0,0,1,0,2,8,0,1,1
AZM05V,3.2283112518814,-0.1453962470172871,0.6925084727067792,-0.0143488961945631,0.6680733623719782,0.8068813775907919,2.2552043878067702,-1.324108184803412,1.0746689191068284,-4.903619725667979,2.885078586568853,2.4708498784461,-4.903619725667979,1.583166114728264,1.3283342276789762,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05W,3.2849206383730793,-0.7782725150698544,1.235000102631354,-0.558882897430612,1.7678122501834226,0.394633388125262,2.7912173662900672,-0.1917689049794737,1.2963531717028114,-5.031100962818898,3.5205010150176905,0.9301689239444434,0.2900244426053627,1.1307571889948649,1.5952829095941703,0,-1,-1,-1,0,0,0,0,0,0,0
AZM05X,2.155882902834855,-2.0713125190472685,-0.5994952191375071,0.730309400061278,1.255340092566605,0.5834597090806598,1.0407547224411482,0.0942274243167944,1.4365893799817109,0.6522308949327636,0.2388600711342834,1.8751035960910285,-5.596352598211248,-0.0200216446731524,1.605083389116077,3,1,0,0,3,2,3,0,1,1,1
